id,date,business_line,product_line,region,loan_type,employee_cost,direct_marketing_campaign_cost,indirect_marketing_cost,sales_commissions_cost
24,2019-03-31,Personal Banking,Loans,Finland,Mortgages,-5007266.410658617,-4499702.408588267,-2999801.605725512,-5624628.010735334
25,2019-06-30,Personal Banking,Loans,Finland,Mortgages,-10014532.821317233,-8999404.817176534,-5999603.211451024,-11249256.021470668
26,2019-09-30,Personal Banking,Loans,Finland,Mortgages,-15021799.23197585,-13499107.2257648,-8999404.817176536,-16873884.032206003
27,2019-12-31,Personal Banking,Loans,Finland,Mortgages,-20029065.642634466,-17998809.634353068,-11999206.422902048,-22498512.042941336
28,2020-03-31,Personal Banking,Loans,Finland,Mortgages,-4567450.1697489275,-3530577.9728154433,-2353718.6485436293,-4413222.4660193045
29,2020-06-30,Personal Banking,Loans,Finland,Mortgages,-9134900.339497855,-7061155.945630887,-4707437.297087259,-8826444.932038609
30,2020-09-30,Personal Banking,Loans,Finland,Mortgages,-13702350.509246781,-10591733.91844633,-7061155.9456308875,-13239667.398057913
31,2020-12-31,Personal Banking,Loans,Finland,Mortgages,-18269800.67899571,-14122311.891261773,-9414874.594174517,-17652889.864077218
32,2017-03-31,Personal Banking,Loans,Norway,Mortgages,-5923227.529567813,-5625009.315596749,-3750006.2103978326,-7031261.644495938
33,2017-06-30,Personal Banking,Loans,Norway,Mortgages,-11846455.059135625,-11250018.631193498,-7500012.420795665,-14062523.288991876
34,2017-09-30,Personal Banking,Loans,Norway,Mortgages,-17769682.58870344,-16875027.94679025,-11250018.631193498,-21093784.933487814
35,2017-12-31,Personal Banking,Loans,Norway,Mortgages,-23692910.11827125,-22500037.262386996,-15000024.84159133,-28125046.577983752
36,2018-03-31,Personal Banking,Loans,Norway,Mortgages,-5528591.573363729,-4776987.303809388,-3184658.2025395916,-5971234.129761734
37,2018-06-30,Personal Banking,Loans,Norway,Mortgages,-11057183.146727458,-9553974.607618775,-6369316.405079183,-11942468.259523468
38,2018-09-30,Personal Banking,Loans,Norway,Mortgages,-16585774.720091186,-14330961.911428163,-9553974.607618775,-17913702.389285203
39,2018-12-31,Personal Banking,Loans,Norway,Mortgages,-22114366.293454915,-19107949.21523755,-12738632.810158366,-23884936.519046936
40,2019-03-31,Personal Banking,Loans,Norway,Mortgages,-5563629.34517624,-4999669.342875853,-3333112.895250569,-6249586.6785948165
41,2019-06-30,Personal Banking,Loans,Norway,Mortgages,-11127258.69035248,-9999338.685751706,-6666225.790501138,-12499173.357189633
42,2019-09-30,Personal Banking,Loans,Norway,Mortgages,-16690888.035528721,-14999008.02862756,-9999338.685751706,-18748760.03578445
43,2019-12-31,Personal Banking,Loans,Norway,Mortgages,-22254517.38070496,-19998677.371503413,-13332451.581002276,-24998346.714379266
44,2020-03-31,Personal Banking,Loans,Norway,Mortgages,-5074944.6330543645,-3922864.414239382,-2615242.9428262548,-4903580.5177992275
45,2020-06-30,Personal Banking,Loans,Norway,Mortgages,-10149889.266108729,-7845728.828478764,-5230485.8856525095,-9807161.035598455
46,2020-09-30,Personal Banking,Loans,Norway,Mortgages,-15224833.899163093,-11768593.242718145,-7845728.828478765,-14710741.553397682
47,2020-12-31,Personal Banking,Loans,Norway,Mortgages,-20299778.532217458,-15691457.656957528,-10460971.771305019,-19614322.07119691
48,2017-03-31,Personal Banking,Loans,Other regions,Mortgages,-1480806.8823919531,-1406252.3288991873,-937501.5525994581,-1757815.4111239845
49,2017-06-30,Personal Banking,Loans,Other regions,Mortgages,-2961613.7647839063,-2812504.6577983745,-1875003.1051989163,-3515630.822247969
50,2017-09-30,Personal Banking,Loans,Other regions,Mortgages,-4442420.64717586,-4218756.986697562,-2812504.6577983745,-5273446.2333719535
51,2017-12-31,Personal Banking,Loans,Other regions,Mortgages,-5923227.529567813,-5625009.315596749,-3750006.2103978326,-7031261.644495938
52,2018-03-31,Personal Banking,Loans,Other regions,Mortgages,-1382147.8933409322,-1194246.825952347,-796164.5506348979,-1492808.5324404335
53,2018-06-30,Personal Banking,Loans,Other regions,Mortgages,-2764295.7866818644,-2388493.651904694,-1592329.1012697958,-2985617.064880867
54,2018-09-30,Personal Banking,Loans,Other regions,Mortgages,-4146443.6800227966,-3582740.4778570407,-2388493.651904694,-4478425.597321301
55,2018-12-31,Personal Banking,Loans,Other regions,Mortgages,-5528591.573363729,-4776987.303809388,-3184658.2025395916,-5971234.129761734
56,2019-03-31,Personal Banking,Loans,Other regions,Mortgages,-1390907.33629406,-1249917.3357189633,-833278.2238126423,-1562396.6696487041
57,2019-06-30,Personal Banking,Loans,Other regions,Mortgages,-2781814.67258812,-2499834.6714379266,-1666556.4476252845,-3124793.3392974082
58,2019-09-30,Personal Banking,Loans,Other regions,Mortgages,-4172722.0088821803,-3749752.00715689,-2499834.6714379266,-4687190.008946112
59,2019-12-31,Personal Banking,Loans,Other regions,Mortgages,-5563629.34517624,-4999669.342875853,-3333112.895250569,-6249586.6785948165
60,2020-03-31,Personal Banking,Loans,Other regions,Mortgages,-1268736.1582635911,-980716.1035598455,-653810.7357065637,-1225895.1294498069
61,2020-06-30,Personal Banking,Loans,Other regions,Mortgages,-2537472.3165271822,-1961432.207119691,-1307621.4714131274,-2451790.2588996137
62,2020-09-30,Personal Banking,Loans,Other regions,Mortgages,-3806208.4747907734,-2942148.3106795363,-1961432.2071196912,-3677685.3883494204
63,2020-12-31,Personal Banking,Loans,Other regions,Mortgages,-5074944.6330543645,-3922864.414239382,-2615242.9428262548,-4903580.5177992275
64,2017-03-31,Personal Banking,Loans,Sweden,Mortgages,-8292518.541394939,-7875013.04183545,-5250008.694556966,-9843766.302294312
65,2017-06-30,Personal Banking,Loans,Sweden,Mortgages,-16585037.082789877,-15750026.0836709,-10500017.389113933,-19687532.604588624
66,2017-09-30,Personal Banking,Loans,Sweden,Mortgages,-24877555.624184817,-23625039.12550635,-15750026.0836709,-29531298.906882934
67,2017-12-31,Personal Banking,Loans,Sweden,Mortgages,-33170074.165579755,-31500052.1673418,-21000034.778227866,-39375065.20917725
68,2018-03-31,Personal Banking,Loans,Sweden,Mortgages,-7740028.202709221,-6687782.225333143,-4458521.483555429,-8359727.781666428
69,2018-06-30,Personal Banking,Loans,Sweden,Mortgages,-15480056.405418443,-13375564.450666286,-8917042.967110857,-16719455.563332856
70,2018-09-30,Personal Banking,Loans,Sweden,Mortgages,-23220084.608127665,-20063346.67599943,-13375564.450666286,-25079183.344999284
71,2018-12-31,Personal Banking,Loans,Sweden,Mortgages,-30960112.810836885,-26751128.901332572,-17834085.934221715,-33438911.12666571
72,2019-03-31,Personal Banking,Loans,Sweden,Mortgages,-7789081.083246738,-6999537.080026195,-4666358.053350797,-8749421.350032743
73,2019-06-30,Personal Banking,Loans,Sweden,Mortgages,-15578162.166493475,-13999074.16005239,-9332716.106701594,-17498842.700065486
74,2019-09-30,Personal Banking,Loans,Sweden,Mortgages,-23367243.249740213,-20998611.240078587,-13999074.16005239,-26248264.05009823
75,2019-12-31,Personal Banking,Loans,Sweden,Mortgages,-31156324.33298695,-27998148.32010478,-18665432.213403188,-34997685.40013097
76,2020-03-31,Personal Banking,Loans,Sweden,Mortgages,-7104922.486276111,-5492010.179935135,-3661340.1199567574,-6865012.72491892
77,2020-06-30,Personal Banking,Loans,Sweden,Mortgages,-14209844.972552221,-10984020.35987027,-7322680.239913515,-13730025.44983784
78,2020-09-30,Personal Banking,Loans,Sweden,Mortgages,-21314767.45882833,-16476030.539805405,-10984020.359870272,-20595038.174756758
79,2020-12-31,Personal Banking,Loans,Sweden,Mortgages,-28419689.945104443,-21968040.71974054,-14645360.47982703,-27460050.89967568
